Ticket Number,Date Created,Date Closed,Request Status,Status Detail,Service Category,Service Details,Business Unit,Neighbourhood,Community League,Ward,Address,Lat,Long,Location,Ticket Source,Calendar Year,Count
8013665056,March 16 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,ALDERGROVE,Aldergrove Community League,WARD 01,"184 STREET NW, 86 AVENUE NW",53.51945451,-113.640545,"(53.5194545098133, -113.640544961292)",Telephone call,2016,1
8013663106,March 15 2016,,Open,,2,Sidewalks,Roadway Operations,RITCHIE,Ritchie Community League,WARD 11,"97 STREET NW, 81 AVENUE NW",53.51704855,-113.4797357,"(53.5170485453097, -113.479735661273)",MobileApp,2016,1
8013662896,March 15 2016,,Open,,1,River Valley,River Valley Operations,RIVER VALLEY WALTERDALE,Strathcona Centre Community League,WARD 08,9100 WALTERDALE HILL NW,53.52642165,-113.5062221,"(53.5264216492133, -113.50622205323)",Telephone call,2016,1
8013662600,March 15 2016,,Open,Work Planned-Seasonal/Weather Dependent,1,Road,Roadway Operations,GREENFIELD,Duggan Community League,WARD 10,"111 STREET NW, 37 AVENUE NW",53.4720728,-113.5161618,"(53.4720728023579, -113.516161809824)",Internet Mail,2016,1
8013664350,March 15 2016,,Open,,2,Sidewalks,Roadway Operations,WESTMOUNT,Westmount Community League,WARD 06,"STONY PLAIN ROAD NW, 127 STREET NW",53.54755519,-113.541173,"(53.5475551929264, -113.541173016322)",MobileApp,2016,1
8013654887,March 14 2016,,Open,,1,River Valley,River Valley Operations,RIVER VALLEY VICTORIA,Oliver Community League,WARD 06,11130 RIVER VALLEY ROAD NW,53.5323914,-113.512103,"(53.5323914028703, -113.512103021925)",MobileApp,2016,1
188623308,March 14 2016,,Open,,1,Shaw/Telus Box,Community Standards,SUMMERSIDE,Summerside Community League of Edmonton,WARD 12,"SUMMERSIDE DRIVE SW, 88 STREET SW",53.42127495,-113.4672863,"(53.4212749540938, -113.467286321199)",Internet Mail,2016,1
8013654835,March 14 2016,,Open,,1,River Valley,River Valley Operations,RIVER VALLEY VICTORIA,Oliver Community League,WARD 06,9604 109 STREET NW,53.53258788,-113.5101976,"(53.5325878838147, -113.510197619613)",MobileApp,2016,1
8013656895,March 14 2016,,Open,,1,Bus,Transit,PARKALLEN,Parkallen Community Ass'n (1960),WARD 10,"111 STREET NW, 61 AVENUE NW",53.49829556,-113.5168141,"(53.4982955608537, -113.51681411242)",Telephone call,2016,1
8013657399,March 14 2016,,Open,,1,Play Apparatus,Parks,DUGGAN,Duggan Community League,WARD 10,10616 36A AVENUE NW,53.47171004,-113.5064199,"(53.4717100389135, -113.506419936588)",Telephone call,2016,1
8013657667,March 14 2016,,Open,,1,Bus,Transit,GREENFIELD,Duggan Community League,WARD 10,"37 AVENUE NW, 111 STREET NW",53.4720728,-113.5161618,"(53.4720728023579, -113.516161809824)",Telephone call,2016,1
8013659020,March 14 2016,,Open,,1,Shaw/Telus Box,Community Standards,SUMMERSIDE,Summerside Community League of Edmonton,WARD 12,"91 STREET SW, PARSONS ROAD SW",53.41991759,-113.4773174,"(53.4199175924109, -113.477317405067)",Internet Mail,2016,1
8013659141,March 14 2016,,Open,,2,Sidewalks,Roadway Operations,STEWART GREENS,Lewis Estates Community League,WARD 01,"98 AVENUE NW, 205 STREET NW",53.53587588,-113.6713406,"(53.535875877212, -113.671340572312)",MobileApp,2016,1
8013652188,March 13 2016,,Open,Assessment in Progress,1,Park Structure,Parks,WEST MEADOWLARK PARK,West Meadowlark Community League,WARD 01,9311 165 STREET NW,53.52985231,-113.6069682,"(53.529852306514, -113.606968186041)",Telephone call,2016,1
188568563,March 13 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,WELLINGTON,The Wellington Park Community League,WARD 02,"128 STREET NW, 135 AVENUE NW",53.59643421,-113.5428022,"(53.5964342102826, -113.542802151026)",MobileApp,2016,1
188562011,March 12 2016,,Open,,1,Newspaper Box/Sign,Community Standards,DUGGAN,Duggan Community League,WARD 10,"36A AVENUE NW, 106A STREET NW",53.47121024,-113.5057841,"(53.4712102391763, -113.505784112638)",Telephone call,2016,1
188562806,March 12 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,IDYLWYLDE,Idylwylde Community League,WARD 08,8205 - 86 AVENUE NW,53.52162298,-113.4537868,"(53.5216229788353, -113.453786802656)",MobileApp,2016,1
188564742,March 12 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,ALBERTA AVENUE,Alberta Avenue Community League,WARD 07,"93 STREET NW, 112 AVENUE NW",53.56106169,-113.4841345,"(53.5610616861727, -113.484134487071)",Telephone call,2016,1
8013648216,March 12 2016,,Open,Work Planned-Seasonal/Weather Dependent,1,Road,Roadway Operations,RIVER VALLEY MAYFAIR,The Windsor Park Community League Edmonton,WARD 08,"GROAT ROAD NW, EMILY MURPHY PARK ROAD NW",53.52991478,-113.5397724,"(53.529914780069, -113.539772352076)",Telephone call,2016,1
8013647178,March 12 2016,,Open,,1,Park Structure,Parks,WILD ROSE,The Meadows Community League Association,WARD 12,2603 38 AVENUE NW,53.47530182,-113.3814244,"(53.4753018248402, -113.381424372714)",MobileApp,2016,1
8013649756,March 12 2016,,Open,,1,Road,Roadway Operations,MILL CREEK RAVINE SOUTH,Strathcona Centre Community League,WARD 08,"82 AVENUE NW, 95A STREET NW",53.51803918,-113.4756373,"(53.5180391769563, -113.475637263693)",MobileApp,2016,1
188503404,March 11 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,RIVER VALLEY CAPITOL HILL,The Crestwood Community League,WARD 01,"145 STREET NW, SUMMIT DRIVE NW",53.53913417,-113.5708938,"(53.5391341702332, -113.570893774961)",Telephone call,2016,1
188505213,March 11 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,GREENFIELD,Greenfield Community League,WARD 10,3803 - 114 STREET NW,53.47389306,-113.5239571,"(53.4738930639101, -113.523957076958)",Telephone call,2016,1
8013645197,March 11 2016,,Open,,1,Road,Roadway Operations,KEHEEWIN,Ermineskin Community League,WARD 10,"CALGARY TRAIL NW, 23 AVENUE NW",53.45434487,-113.4933176,"(53.4543448713046, -113.493317605233)",Telephone call,2016,1
8013645137,March 11 2016,,Open,,2,City Sidewalks,Roadway Operations,SCHONSEE,,WARD 03,"170 AVENUE NW, 73 STREET NW",53.63098196,-113.4544238,"(53.630981964153, -113.454423845029)",MobileApp,2016,1
188556844,March 11 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,ALDERGROVE,Aldergrove Community League,WARD 01,8303 - 184 STREET NW,53.51675096,-113.6401609,"(53.5167509572984, -113.640160905871)",Telephone call,2016,1
8013644635,March 11 2016,,Open,Work Planned-Seasonal/Weather Dependent,1,Road,Roadway Operations,PARKALLEN,Parkallen Community Ass'n (1960),WARD 10,"114 STREET NW, 113 STREET NW",53.50812995,-113.5245282,"(53.5081299509471, -113.524528218236)",Telephone call,2016,1
8013641562,March 11 2016,,Open,,1,Road,Roadway Operations,DOWNTOWN,Downtown Edmonton Community League,WARD 06,"99 AVENUE NW, 109 STREET NW",53.53725359,-113.5084354,"(53.5372535881208, -113.508435443226)",MobileApp,2016,1
8013642484,March 11 2016,,Open,,1,Road,Roadway Operations,LYMBURN,Callingwood - Lymburn Community League,WARD 05,"78 AVENUE NW, 183 STREET NW",53.51075919,-113.6374675,"(53.5107591889134, -113.637467547789)",MobileApp,2016,1
8013638926,March 10 2016,,Open,,1,Vandalism - Play Structure,Parks,BISSET,Ridgewood Community League,WARD 12,3020 37 STREET NW,53.46073044,-113.3989748,"(53.4607304388587, -113.398974821807)",Telephone call,2016,1
8013635442,March 09 2016,,Open,,1,Bus,Transit,MCKERNAN,McKernan District Community League,WARD 08,"76 AVENUE NW, 114 STREET NW",53.51224702,-113.5258146,"(53.5122470216582, -113.525814557683)",Telephone call,2016,1
8013633529,March 09 2016,,Open,,1,Vandalism - Play Structure,Parks,EMPIRE PARK,Empire Park S. W. Community League,WARD 10,4804 107 STREET NW,53.4862334,-113.5087846,"(53.4862333984433, -113.508784591725)",Telephone call,2016,1
188375764,March 09 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,RIVER VALLEY LAURIER,Lynnwood Community League,WARD 05,"WHITEMUD DRIVE [EASTBOUND SIDE] NW, 149 STREET [SOUTHBOUND SIDE] NW",53.51216779,-113.5792069,"(53.512167788737, -113.579206891254)",Telephone call,2016,1
188277392,March 07 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,DOWNTOWN,Downtown Edmonton Community League,WARD 06,"99 AVENUE NW, 109 STREET NW",53.53725359,-113.5084354,"(53.5372535881208, -113.508435443226)",MobileApp,2016,1
188277436,March 07 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,GREENFIELD,Greenfield Community League,WARD 10,"117 STREET NW, 37 AVENUE NW",53.47176402,-113.5326952,"(53.4717640192528, -113.532695233465)",Internet Mail,2016,1
188204022,March 06 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,CALLINGWOOD SOUTH,Callingwood - Lymburn Community League,WARD 05,"69 AVENUE [EASTBOUND SIDE] NW, 170 STREET [SOUTHBOUND SIDE] NW",53.50467212,-113.6154465,"(53.5046721213009, -113.615446547717)",MobileApp,2016,1
188209779,March 06 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,LYMBURN,Callingwood - Lymburn Community League,WARD 05,7218 178 STREET NW,53.50619795,-113.6327565,"(53.5061979522419, -113.632756462969)",MobileApp,2016,1
188206859,March 06 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,CALLINGWOOD NORTH,Callingwood - Lymburn Community League,WARD 05,"172 STREET NW, 69 AVENUE [WESTBOUND SIDE] NW",53.50464761,-113.6195323,"(53.5046476080749, -113.619532294105)",MobileApp,2016,1
8013615107,March 05 2016,,Open,Assessment in Progress,1,Park Structure,Parks,MAYFIELD,Mayfield Community League,WARD 01,16316 107A AVENUE NW,53.552328,-113.6038451,"(53.5523280029958, -113.603845084146)",Telephone call,2016,1
8013614896,March 05 2016,,Open,,1,Road,Roadway Operations,WELLINGTON,The Wellington Park Community League,WARD 02,13315 136 STREET NW,53.59413595,-113.5544455,"(53.5941359495787, -113.554445524624)",Telephone call,2016,1
188125405,March 03 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,GRIESBACH,Griesbach Community League,WARD 02,"145 AVENUE NW, SIR ARTHUR CURRIE WAY NW",53.60676701,-113.499798,"(53.6067670092449, -113.499797992019)",MobileApp,2016,1
188119876,March 03 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,DOWNTOWN,The Rossdale Community League (1974),WARD 06,"108 STREET NW, 99 AVENUE NW",53.53725264,-113.5065916,"(53.5372526378968, -113.506591595317)",MobileApp,2016,1
8013605677,March 03 2016,,Open,,1,Park Structure,Parks,OLIVER,Oliver Community League,WARD 06,"100 AVENUE NW, 119 STREET NW",53.53975087,-113.5268436,"(53.5397508739341, -113.526843621118)",Telephone call,2016,1
8013577511,February 26 2016,,Open,,1,River Valley,River Valley Operations,RIVER VALLEY WHITEMUD,,WARD 10,"FOX DRIVE NW, WHITEMUD DRIVE NW",53.5033855,-113.5632469,"(53.5033855025142, -113.563246908456)",Telephone call,2016,1
8013569045,February 25 2016,,Open,,2,Road Snow Removal,Roadway Operations,DELWOOD,Delwood Community League,WARD 07,13327 81 STREET NW,53.59489923,-113.4645321,"(53.5948992319219, -113.464532107223)",Telephone call,2016,1
8013565393,February 24 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,THORNCLIFF,Thorncliff Community League,WARD 05,8515 173 STREET NW,53.51893364,-113.6197844,"(53.5189336417924, -113.619784432956)",MobileApp,2016,1
8013560315,February 23 2016,,Open,,2,Road Snow Removal,Roadway Operations,LORELEI,Lorelei Beaumaris Community League,WARD 03,11028 162A AVENUE NW,53.62305126,-113.5126201,"(53.6230512637373, -113.512620147229)",Telephone call,2016,1
8013555957,February 22 2016,,Open,,2,Road Snow Removal,Roadway Operations,LAUDERDALE,Lauderdale Community League,WARD 02,13037 102 STREET NW,53.59061472,-113.4952163,"(53.5906147221204, -113.495216306098)",Telephone call,2016,1
187458541,February 19 2016,,Open,,1,Waste Bin- Private Property,Community Standards,AVONMORE,The Avonmore Community League,WARD 11,"73 AVENUE NW, 78 STREET NW",53.5094713,-113.4477584,"(53.5094712966394, -113.447758366193)",Internet Mail,2016,1
187322764,February 17 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,FOREST HEIGHTS,Forest/Terrace Heights Community League,WARD 08,"104A AVENUE NW, 74 STREET NW",53.54807951,-113.4412598,"(53.5480795087353, -113.441259814209)",MobileApp,2016,1
8013532936,February 17 2016,,Open,,1,Vandalism - Play Structure,Parks,MILL CREEK RAVINE SOUTH,King Edward Park Community League,WARD 11,8120 93 STREET NW,53.51513755,-113.4728019,"(53.5151375473489, -113.472801888097)",Telephone call,2016,1
8013528106,February 16 2016,,Open,,2,Road Snow Removal,Roadway Operations,ROSSLYN,Rosslyn Community Association,WARD 02,10819 134 AVENUE NW,53.59450617,-113.5078383,"(53.5945061747919, -113.507838320699)",Internet Mail,2016,1
8013527710,February 16 2016,,Open,Work Planned-Route/Schedule Dependent,2,Sidewalks,Roadway Operations,LAGO LINDO,Lago Lindo Community League,WARD 03,"176 AVENUE NW, 97 STREET NW",53.63845602,-113.4918246,"(53.6384560157656, -113.491824641996)",Telephone call,2016,1
8013522979,February 16 2016,,Open,Work Planned-Route/Schedule Dependent,2,Sidewalks,Roadway Operations,LAGO LINDO,Lago Lindo Community League,WARD 03,"97 STREET NW, 176 AVENUE NW",53.63845602,-113.4918246,"(53.6384560157656, -113.491824641996)",Telephone call,2016,1
8013520419,February 15 2016,,Open,,1,Drain/Manhole Cover/Sewer,Drainage Operations,RIVER VALLEY LAURIER,Lynnwood Community League,WARD 05,"149 STREET NW, WHITEMUD DRIVE NW",53.51409424,-113.5785909,"(53.5140942387225, -113.578590888583)",Telephone call,2016,1
8013507502,February 12 2016,,Open,,1,Drain/Manhole Cover/Sewer,Drainage Operations,ANTHONY HENDAY,Glastonbury Community League,WARD 01,"WHITEMUD DRIVE NW, ANTHONY HENDAY DRIVE NW",53.51224034,-113.6622277,"(53.5122403441588, -113.662227741302)",Telephone call,2016,1
8013502653,February 11 2016,,Open,,2,Road Snow Removal,Roadway Operations,KLARVATTEN,Lago Lindo Community League,WARD 03,"89 STREET NW, 180 AVENUE NW",53.64143897,-113.476208,"(53.6414389676136, -113.476208016929)",Telephone call,2016,1
187114040,February 10 2016,,Open,,1,Newspaper Box/Sign,Community Standards,MALMO PLAINS,Malmo Community League,WARD 10,"51 AVENUE NW, 122 STREET NW",53.48830241,-113.5411406,"(53.4883024119174, -113.541140617061)",Telephone call,2016,1
8013491933,February 09 2016,,Open,,2,Sidewalks,Roadway Operations,KENSINGTON,Kensington Community League,WARD 02,"134B AVENUE NW, 123 STREET NW",53.59622541,-113.5335282,"(53.5962254114812, -113.5335282128)",MobileApp,2016,1
8013481115,February 07 2016,,Open,,2,Road Snow Removal,Roadway Operations,KENSINGTON,Kensington Community League,WARD 02,12420 136 AVENUE NW,53.59850222,-113.5376469,"(53.5985022243342, -113.537646939706)",Telephone call,2016,1
8013476587,February 06 2016,,Open,,2,Sanding,Roadway Operations,CASSELMAN,McLeod Community League,WARD 04,5028 152A AVENUE NW,53.61544992,-113.4190022,"(53.6154499249126, -113.419002230853)",Telephone call,2016,1
8013474755,February 05 2016,,Open,,2,Sanding,Roadway Operations,MCCONACHIE AREA,Horse Hill Community League (1995) Asssociation,WARD 04,"167 AVENUE NW, 50 STREET NW",53.62872468,-113.4118723,"(53.6287246828521, -113.411872301843)",Internet Mail,2016,1
186808819,February 03 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,OTTEWELL,The Ottewell Community League,WARD 08,6703 - 95 AVENUE NW,53.53440861,-113.4315269,"(53.5344086089121, -113.431526913205)",Telephone call,2016,1
8013459867,February 03 2016,,Open,,2,Empty Sandbox at Community League,Roadway Operations,CALDER,Calder Community League,WARD 02,12721 120 STREET NW,53.58556184,-113.5283044,"(53.5855618397251, -113.528304430717)",Telephone call,2016,1
8013450528,February 01 2016,,Open,,2,Sidewalks,Roadway Operations,LAUDERDALE,Lauderdale Community League,WARD 02,10610 129 AVENUE NW,53.58830526,-113.5023422,"(53.5883052615936, -113.502342205463)",Telephone call,2016,1
8013448780,February 01 2016,,Open,,2,Sidewalks,Roadway Operations,CARLISLE,Carlisle Community League,WARD 02,11520 138 AVENUE NW,53.60109915,-113.5216656,"(53.6010991521684, -113.521665563657)",Telephone call,2016,1
8013448758,February 01 2016,,Open,,2,Sidewalks,Roadway Operations,CARLISLE,Carlisle Community League,WARD 02,14240 117 STREET NW,53.60498716,-113.525444,"(53.6049871582989, -113.525443974483)",Telephone call,2016,1
186569987,January 31 2016,,Open,,1,Federal/Provincial Building,Community Standards,DOWNTOWN,Downtown Edmonton Community League,WARD 06,10611 - 105 AVENUE NW,53.54746477,-113.5040149,"(53.5474647678104, -113.504014924378)",MobileApp,2016,1
8013440160,January 30 2016,,Open,,2,Sanding,Roadway Operations,EVANSDALE,Evansdale Community League,WARD 03,8520 152A AVENUE NW,53.6139753,-113.4723457,"(53.6139752962451, -113.47234565464)",Telephone call,2016,1
8013442202,January 30 2016,,Open,,2,Sanding,Roadway Operations,RIVER VALLEY CAPITOL HILL,The Crestwood Community League,WARD 01,14212 SUMMIT DRIVE NW,53.54009191,-113.5715599,"(53.5400919053896, -113.57155985902)",Telephone call,2016,1
8013422947,January 26 2016,,Open,,2,Road Snow Removal,Roadway Operations,KILLARNEY,Killarney Community League,WARD 07,12809 90 STREET NW,53.58648087,-113.4790758,"(53.5864808741235, -113.479075758081)",Telephone call,2016,1
