YEAR,MONTH_NUMBER,MONTH,REPORT_PERIOD,NEIGHBOURHOOD,NEIGHBOURHOOD_ID,COMPLAINT,INITIATED_BY,STATUS,COUNT,LATITUDE,LONGITUDE
2016,1,JANUARY,Jan-16,MacEwan,5452,2,Citizen,Under Investigation,1,53.42874568,-113.526948
2016,1,JANUARY,Jan-16,Canora,4090,1,By-law Officer,Under Investigation,1,53.54619344,-113.5842146
2016,1,JANUARY,Jan-16,Canora,4090,1,Citizen,Under Investigation,1,53.54619344,-113.5842146
2016,1,JANUARY,Jan-16,Inglewood,3240,1,Citizen,Under Investigation,3,53.56460647,-113.5408522
2016,1,JANUARY,Jan-16,Dunluce,3180,1,Citizen,Under Investigation,1,53.62147299,-113.5301833
2016,1,JANUARY,Jan-16,Patricia Heights,4390,1,Citizen,Under Investigation,1,53.50663403,-113.5932177
2016,1,JANUARY,Jan-16,Athlone,3010,1,Citizen,Under Investigation,1,53.58802604,-113.5509822
2016,1,JANUARY,Jan-16,Strathcona,5480,1,Citizen,Under Investigation,3,53.52239019,-113.4909856
2016,1,JANUARY,Jan-16,Elmwood,4140,1,Citizen,Under Investigation,1,53.51573826,-113.6059933
2016,1,JANUARY,Jan-16,Pollard Meadows,6580,1,Citizen,Under Investigation,1,53.44911502,-113.4130322
2016,1,JANUARY,Jan-16,Glenwood,4180,1,By-law Officer,Under Investigation,2,53.53641656,-113.6027698
2016,1,JANUARY,Jan-16,West Jasper Place,4580,1,By-law Officer,Under Investigation,2,53.53662987,-113.5841443
2016,1,JANUARY,Jan-16,Parkallen,5310,1,Citizen,Under Investigation,1,53.50309581,-113.5174613
2016,1,JANUARY,Jan-16,Downtown,1090,1,By-law Officer,Under Investigation,6,53.53976659,-113.4983796
2016,1,JANUARY,Jan-16,Chappelle Area,5462,1,Citizen,Under Investigation,1,53.40291668,-113.586918
2016,1,JANUARY,Jan-16,Britannia Youngstown,4060,1,By-law Officer,Under Investigation,8,53.54629462,-113.6015104
2016,1,JANUARY,Jan-16,Malmo Plains,5280,1,Citizen,Under Investigation,1,53.48567699,-113.5289921
2016,1,JANUARY,Jan-16,McKernan,5290,1,Citizen,Under Investigation,1,53.51275884,-113.5204422
2016,1,JANUARY,Jan-16,Westmount,3440,1,Citizen,Under Investigation,1,53.54998825,-113.5399738
2016,1,JANUARY,Jan-16,Belmead,4040,1,Citizen,Under Investigation,1,53.52560296,-113.641015
2016,1,JANUARY,Jan-16,Belvedere,2080,2,By-law Officer,Under Investigation,1,53.5910569,-113.4360629
2016,1,JANUARY,Jan-16,Balwin,2020,1,Citizen,Under Investigation,1,53.58795101,-113.4550753
2016,1,JANUARY,Jan-16,Prince Rupert,1170,1,Citizen,Under Investigation,1,53.5645945,-113.5241177
2016,1,JANUARY,Jan-16,Rural North East Horse Hill,2670,1,Citizen,Under Investigation,1,53.66378396,-113.3299066
2016,1,JANUARY,Jan-16,Downtown,1090,1,Citizen,Under Investigation,1,53.53976659,-113.4983796
2016,2,FEBRUARY,Feb-16,Eastwood,1100,1,Citizen,Under Investigation,1,53.57610461,-113.4687304
2016,1,JANUARY,Jan-16,Cameron Heights,4466,1,Citizen,Under Investigation,1,53.47412665,-113.6343594
2016,2,FEBRUARY,Feb-16,Hillview,6300,2,Citizen,Under Investigation,1,53.46974041,-113.427064
2016,2,FEBRUARY,Feb-16,Prince Charles,3350,1,Citizen,Under Investigation,1,53.57563545,-113.536002
2016,1,JANUARY,Jan-16,Sakaw,6670,2,By-law Officer,Under Investigation,1,53.44197993,-113.4288283
2016,2,FEBRUARY,Feb-16,West Jasper Place,4580,1,Citizen,Under Investigation,1,53.53662987,-113.5841443
2016,2,FEBRUARY,Feb-16,Garneau,5200,1,Citizen,Under Investigation,1,53.51991083,-113.5135356
2016,2,FEBRUARY,Feb-16,Bannerman,2030,1,Citizen,Under Investigation,1,53.60394968,-113.3786237
2016,1,JANUARY,Jan-16,Garneau,5200,2,By-law Officer,Under Investigation,5,53.51991083,-113.5135356
